Date,Close,yhat
11/16/2011,2.33,5.16
11/17/2011,2.25,4.91
11/18/2011,2.17,4.89
11/21/2011,2.12,6.54
11/22/2011,2.14,6.33
11/23/2011,2.1,6.69
11/25/2011,2.11,6.56
11/28/2011,2.17,8.11
11/29/2011,2.12,7.79
11/30/2011,2.18,8.00
12/1/2011,2.17,7.64
12/2/2011,2.22,7.45
12/5/2011,2.29,8.18
12/6/2011,2.32,7.56
12/7/2011,2.28,7.47
12/8/2011,2.06,6.83
12/9/2011,2.07,6.36
12/12/2011,2.03,6.46
12/13/2011,1.96,5.71
12/14/2011,1.9,5.54
12/15/2011,1.91,4.87
12/16/2011,1.87,4.42
12/19/2011,1.85,4.90
12/20/2011,1.86,4.37
12/21/2011,1.84,4.46
12/22/2011,1.85,4.08
12/23/2011,1.86,3.95
12/27/2011,1.9,5.24
12/28/2011,1.9,5.64
12/29/2011,1.92,5.55
12/30/2011,1.9,5.66
1/3/2012,1.87,7.45
1/4/2012,1.85,7.83
1/5/2012,1.81,7.66
1/6/2012,1.79,7.64
1/9/2012,1.82,8.90
1/10/2012,1.84,8.43
1/11/2012,1.88,8.48
1/12/2012,1.88,7.95
1/13/2012,1.52,7.58
1/17/2012,1.77,7.05
1/18/2012,1.79,6.84
1/19/2012,1.78,6.11
1/20/2012,1.77,5.59
1/23/2012,1.78,5.71
1/24/2012,1.83,5.04
1/25/2012,1.86,4.98
1/26/2012,1.93,4.44
1/27/2012,1.96,4.17
1/30/2012,1.97,5.25
1/31/2012,1.94,4.93
2/1/2012,1.97,5.23
2/2/2012,2.02,5.06
2/3/2012,2.08,5.12
2/6/2012,2.12,7.00
2/7/2012,2.11,6.85
2/8/2012,2.13,7.26
2/9/2012,2.17,7.13
2/10/2012,2.07,7.16
2/13/2012,2.1,8.55
2/14/2012,2.21,8.10
2/15/2012,2.24,8.16
2/16/2012,2.28,7.61
2/17/2012,2.33,7.20
2/21/2012,2.3,6.14
2/22/2012,2.28,5.71
2/23/2012,2.3,4.70
2/24/2012,2.25,3.85
2/27/2012,2.24,2.78
2/28/2012,2.25,1.63
2/29/2012,2.23,1.07
3/1/2012,2.29,0.02
3/2/2012,2.27,(0.79)
3/5/2012,2.25,(1.30)
3/6/2012,2.21,(2.12)
3/7/2012,2.21,(2.29)
3/8/2012,2.2,(2.91)
3/9/2012,2.32,(3.25)
3/12/2012,2.4,(2.20)
3/13/2012,2.41,(2.49)
3/14/2012,2.35,(2.15)
3/15/2012,2.33,(2.27)
3/16/2012,2.35,(2.15)
3/19/2012,2.33,0.00
3/20/2012,2.33,(0.03)
3/21/2012,2.34,0.51
3/22/2012,2.29,0.52
3/23/2012,2.27,0.72
3/26/2012,2.49,2.73
3/27/2012,2.53,2.55
3/28/2012,2.52,2.90
3/29/2012,2.49,2.68
3/30/2012,2.48,2.63
4/2/2012,2.44,3.78
4/3/2012,2.53,3.31
4/4/2012,2.33,3.37
4/5/2012,2.3,2.88
4/9/2012,2.21,3.11
4/10/2012,2.16,2.48
4/11/2012,2.21,2.42
4/12/2012,2.23,1.83
4/13/2012,2.24,1.44
4/16/2012,2.15,1.87
4/17/2012,2.15,1.22
4/18/2012,2.18,1.16
4/19/2012,2.21,0.56
4/20/2012,2.21,0.17
4/23/2012,2.13,0.52
4/24/2012,2.12,(0.17)
4/25/2012,2.19,(0.31)
4/26/2012,2.23,(0.98)
4/27/2012,2.22,(1.47)
4/30/2012,2.21,(1.46)
5/1/2012,2.25,(2.28)
5/2/2012,2.26,(2.54)
5/3/2012,2.16,(3.33)
5/4/2012,2.12,(3.94)
5/7/2012,2.16,(4.18)
5/8/2012,2.01,(5.03)
5/9/2012,2,(5.30)
5/10/2012,2.2,(6.07)
5/11/2012,2.15,(6.62)
5/14/2012,2,(6.48)
5/15/2012,1.96,(7.14)
5/16/2012,1.95,(7.19)
5/17/2012,1.9,(7.72)
5/18/2012,1.84,(7.99)
5/21/2012,1.92,(6.96)
5/22/2012,2.05,(7.32)
5/23/2012,2.07,(7.06)
5/24/2012,2.02,(7.29)
5/25/2012,1.99,(7.28)
5/29/2012,2.11,(5.70)
5/30/2012,2.03,(5.28)
5/31/2012,1.97,(5.39)
6/1/2012,1.88,(5.29)
6/4/2012,1.86,(3.43)
6/5/2012,1.86,(3.61)
6/6/2012,1.95,(3.23)
6/7/2012,1.93,(3.39)
6/8/2012,2.01,(3.35)
6/11/2012,1.94,(1.69)
6/12/2012,1.98,(1.92)
6/13/2012,1.98,(1.58)
6/14/2012,1.96,(1.76)
6/15/2012,1.99,(1.73)
6/18/2012,2.12,0.03
6/19/2012,2.14,(0.14)
6/20/2012,2.25,0.29
6/21/2012,2.15,0.22
6/22/2012,2.25,0.38
6/25/2012,2.21,2.54
6/26/2012,2.11,2.50
6/27/2012,2.13,3.05
6/28/2012,2.09,3.09
6/29/2012,2.09,3.32
7/2/2012,2.03,5.58
7/3/2012,2.04,5.52
7/5/2012,2.08,5.93
7/6/2012,2.07,6.03
7/9/2012,2.1,7.69
7/10/2012,2.08,7.37
7/11/2012,2.1,7.57
7/12/2012,2.18,7.22
7/13/2012,2.28,7.02
7/16/2012,2.4,7.78
7/17/2012,2.22,7.19
7/18/2012,2.14,7.15
7/19/2012,2.15,6.56
7/20/2012,2.12,6.17
7/23/2012,2.04,6.56
7/24/2012,1.99,5.92
7/25/2012,1.93,5.87
7/26/2012,1.88,5.31
7/27/2012,1.97,4.98
7/30/2012,1.82,5.74
7/31/2012,1.83,5.26
8/1/2012,1.75,5.39
8/2/2012,1.74,5.02
8/3/2012,1.82,4.88
8/6/2012,1.88,6.16
8/7/2012,2.02,5.83
8/8/2012,1.94,6.09
8/9/2012,1.96,5.82
8/10/2012,2,5.75
8/13/2012,2.08,7.11
8/14/2012,1.96,6.75
8/15/2012,1.96,6.96
8/16/2012,2.02,6.63
8/17/2012,2,6.48
8/20/2012,1.97,7.56
8/21/2012,1.94,7.11
8/22/2012,2,7.24
8/23/2012,2.05,6.84
8/24/2012,1.97,6.64
8/27/2012,1.89,7.69
8/28/2012,1.91,7.28
8/29/2012,1.89,7.46
8/30/2012,1.89,7.14
8/31/2012,1.9,7.05
9/4/2012,1.88,8.20
9/5/2012,1.86,8.52
9/6/2012,1.9,8.33
9/7/2012,1.96,8.35
9/10/2012,1.82,9.99
9/11/2012,1.85,9.73
9/12/2012,1.89,10.02
9/13/2012,1.97,9.76
9/14/2012,2.03,9.68
9/17/2012,2.17,10.78
9/18/2012,2.09,10.27
9/19/2012,2.07,10.29
9/20/2012,2.06,9.74
9/21/2012,2,9.34
9/24/2012,2.04,9.47
9/25/2012,1.84,8.65
9/26/2012,1.84,8.39
9/27/2012,1.9,7.57
9/28/2012,1.95,6.95
10/1/2012,1.94,6.66
10/2/2012,1.99,5.80
10/3/2012,1.95,5.54
10/4/2012,1.96,4.79
10/5/2012,1.93,4.28
10/8/2012,1.95,4.62
10/9/2012,1.89,4.05
10/10/2012,1.89,4.10
10/11/2012,1.89,3.69
10/12/2012,1.84,3.53
10/15/2012,1.82,4.93
10/16/2012,1.87,4.69
10/17/2012,1.92,5.05
10/18/2012,1.87,4.91
10/19/2012,1.85,4.99
10/22/2012,1.86,6.84
10/23/2012,1.89,6.66
10/24/2012,1.83,7.03
10/25/2012,1.83,6.86
10/26/2012,1.83,6.87
10/31/2012,1.88,8.11
11/1/2012,1.95,7.74
11/2/2012,1.93,7.55
11/5/2012,2.1,8.46
11/6/2012,2.08,7.97
11/7/2012,2.1,8.05
11/8/2012,2.09,7.62
11/9/2012,2.02,7.40
11/12/2012,2.07,8.44
11/13/2012,2.11,8.06
11/14/2012,2.09,8.27
11/15/2012,2.05,7.99
11/16/2012,2.12,7.94
11/19/2012,2.19,9.53
11/20/2012,2.2,9.31
11/21/2012,2.16,9.68
11/23/2012,2.14,9.57
11/26/2012,2.15,11.21
11/27/2012,2.14,10.93
11/28/2012,2.22,11.19
11/29/2012,2.25,10.89
11/30/2012,2.25,10.75
12/3/2012,2.31,11.66
12/4/2012,2.26,11.09
12/5/2012,2.25,11.06
12/6/2012,2.26,10.46
12/7/2012,2.28,10.03
12/10/2012,2.3,10.19
12/11/2012,2.35,9.44
12/12/2012,2.35,9.26
12/13/2012,2.24,8.57
12/14/2012,2.25,8.09
12/17/2012,2.29,8.44
12/18/2012,2.31,7.85
12/19/2012,2.31,7.88
12/20/2012,2.3,7.44
12/21/2012,2.27,7.25
12/24/2012,2.29,8.58
12/26/2012,2.24,8.70
12/27/2012,2.25,8.57
12/28/2012,2.21,8.67
12/31/2012,2.26,10.63
1/2/2013,2.36,10.92
1/3/2013,2.32,10.79
1/4/2013,2.29,10.83
1/7/2013,2.29,12.28
1/8/2013,2.25,11.88
1/9/2013,2.24,12.00
1/10/2013,2.24,11.54
1/11/2013,2.19,11.23
1/14/2013,2.22,11.62
1/15/2013,2.26,10.89
1/16/2013,2.27,10.71
1/17/2013,2.29,9.99
1/18/2013,2.3,9.47
1/22/2013,2.35,8.81
1/23/2013,2.4,8.69
1/24/2013,2.47,8.10
1/25/2013,2.47,7.76
1/28/2013,2.54,8.65
1/29/2013,2.53,8.27
1/30/2013,2.5,8.52
1/31/2013,2.5,8.29
2/1/2013,2.55,8.31
2/4/2013,2.52,10.14
2/5/2013,2.54,9.99
2/6/2013,2.61,10.43
2/7/2013,2.63,10.32
2/8/2013,2.62,10.40
2/11/2013,2.56,11.99
2/12/2013,2.53,11.63
2/13/2013,2.56,11.77
2/14/2013,2.55,11.33
2/15/2013,2.47,11.01
2/19/2013,2.62,10.33
2/20/2013,2.57,9.97
2/21/2013,2.34,9.02
2/22/2013,2.41,8.23
2/25/2013,2.29,7.24
2/26/2013,2.3,6.09
2/27/2013,2.34,5.51
2/28/2013,2.32,4.43
3/1/2013,2.31,3.58
3/4/2013,2.37,2.87
3/5/2013,2.44,1.96
3/6/2013,2.51,1.70
3/7/2013,2.55,0.99
3/8/2013,2.56,0.56
3/11/2013,2.61,1.33
3/12/2013,2.61,0.95
3/13/2013,2.6,1.22
3/14/2013,2.46,1.03
3/15/2013,2.35,1.10
3/18/2013,2.34,3.15
3/19/2013,2.34,3.10
3/20/2013,2.4,3.64
3/21/2013,2.4,3.66
3/22/2013,2.44,3.88
3/25/2013,2.5,6.01
3/26/2013,2.52,5.88
3/27/2013,2.54,6.28
3/28/2013,2.53,6.13
4/1/2013,2.93,7.45
4/2/2013,2.96,7.03
4/3/2013,2.74,7.14
4/4/2013,2.8,6.69
4/5/2013,2.76,6.41
4/8/2013,2.79,7.03
4/9/2013,2.7,6.42
4/10/2013,2.79,6.37
4/11/2013,2.91,5.79
4/12/2013,2.92,5.41
4/15/2013,2.89,5.84
4/16/2013,3.04,5.20
4/17/2013,3.03,5.13
4/18/2013,3.13,4.55
4/19/2013,3.19,4.16
4/22/2013,3.35,4.55
4/23/2013,3.4,3.88
4/24/2013,3.36,3.77
4/25/2013,3.47,3.12
4/26/2013,3.41,2.66
4/29/2013,3.66,2.75
4/30/2013,3.6,1.96
5/1/2013,3.55,1.72
5/2/2013,3.61,0.95
5/3/2013,3.64,0.36
5/6/2013,3.97,0.14
5/7/2013,3.7,(0.72)
5/8/2013,3.72,(1.00)
5/9/2013,4.63,(1.79)
5/10/2013,5.12,(2.37)
5/13/2013,5.85,(2.34)
5/14/2013,5.55,(3.05)
5/15/2013,5.66,(3.15)
5/16/2013,6.15,(3.72)
5/17/2013,6.1,(4.05)
5/20/2013,6,(3.18)
5/21/2013,5.84,(3.59)
